ID,Code,LongDescription
333,"0148T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology and computed tomographic angiography of coronary arteries (including nativeand anomalous coronary arteries, coronary bypass grafts), without quantitative evaluation of coronary calcium"
334,"01490","Anesthesia for lower leg cast application, removal, or repair"
335,"0173T","Iop monit io pressure"
336,"0149T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology and computed tomographic angiography of coronary arteries (including nativeand anomalous coronary arteries, coronary bypass grafts), with quantitative evaluation of coronary calcium"
337,"01500","Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified"
338,"01502","Anesthesia for procedures on arteries of lower leg, including bypass graft; embolectomy, direct or with catheter"
339,"0174T","Cad cxr with interp"
340,"0150T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology in congenital heart disease"
341,"0151T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing, function evaluation (left and right ventricular function, ejection-fraction and segmental wall motion) (Listseparately in addition to code for primary procedure)"
342,"0175T","Cad cxr remote"
343,"01520","Anesthesia for procedures on veins of lower leg; not otherwise specified"
344,"01522","Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter"
345,"01610","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla"
346,"01620","Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
347,"01622","Anesthesia for diagnostic arthroscopic procedures of shoulder joint"
348,"0144T","Computed tomography, heart, without contrast material, including image postprocessing and quantitative evaluation of coronary calcium"
349,"0145T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology"
350,"0178T","64 lead ecg w/i&r"
351,"0179T","64 lead ecg w/tracing"
352,"0180T","64 lead ecg w/i&r only"
353,"01712","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenotomy, elbow to shoulder, open"
354,"0181T","Corneal hysteresis"
355,"01820","Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones"
356,"01829","Anesthesia for diagnostic arthroscopic procedures on the wrist"
357,"01714","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenoplasty, elbow to shoulder"
358,"01830","Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified"
359,"01832","Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; total wrist replacement"
360,"01716","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenodesis, rupture of long tendon of biceps"
361,"01840","Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified"
362,"01842","Anesthesia for procedures on arteries of forearm, wrist, and hand; embolectomy"
363,"01730","Anesthesia for all closed procedures on humerus and elbow"
364,"01732","Anesthesia for diagnostic arthroscopic procedures of elbow joint"
365,"01740","Anesthesia for open or surgical arthroscopic procedures of the elbow; not otherwise specified"
366,"01742","Anesthesia for open or surgical arthroscopic procedures of the elbow; osteotomy of humerus"
367,"01744","Anesthesia for open or surgical arthroscopic procedures of the elbow; repair of nonunion or malunion of humerus"
368,"01756","Anesthesia for open or surgical arthroscopic procedures of the elbow; radical procedures"
369,"01758","Anesthesia for open or surgical arthroscopic procedures of the elbow; excision of cyst or tumor of humerus"
370,"0187T",""
371,"01760","Anesthesia for open or surgical arthroscopic procedures of the elbow; total elbow replacement"
372,"0176T",""
373,"01770","Anesthesia for procedures on arteries of upper arm and elbow; not otherwise specified"
374,"0153T","TRANSCATHETER PLACEMENT OF WIRELESS PHYSIOLOGIC SENSOR IN ANEURYSMAL SAC DURING ENDOVASCULAR REPAIR, INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION AND INSTRUMENT CALIBRATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
375,"0154T","NONINVASIVE PHYSIOLOGIC STUDY OF IMPLANTED WIRELESS PRESSURE SENSOR IN ANEURYSMAL SAC FOLLOWING ENDOVASCULAR REPAIR, COMPLETE STUDY INCLUDING RECORDING, ANALYSIS OF PRESSURE AND WAVEFORM TRACINGS, INTERPRETATION AND REPORT"
376,"0160T",""
377,"01772","Anesthesia for procedures on arteries of upper arm and elbow; embolectomy"
378,"0161T",""
379,"0177T",""
380,"01780","Anesthesia for procedures on veins of upper arm and elbow; not otherwise specified"
381,"0162T","Electronic analysis and programming, reprogramming of gastric neurostimulator (ie, morbid obesity)"
382,"01782","Anesthesia for procedures on veins of upper arm and elbow; phleborrhaphy"
383,"01810","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand"
384,"01632","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; radical resection

"
385,"0170T","Repair of anorectal fistula with plug (eg, porcine small intestine submucosa [SIS])"
386,"0182T","Hdr elect brachytherapy"
387,"01935","Anesthesia for percutaneous image guided procedures on the spine and spinal cord; diagnostic"
388,"01936","Anesthesia for percutaneous image guided procedures on the spine and spinal cord; therapeutic"
389,"0193T",""
390,"0183T","Wound ultrasound"
391,"01951","Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; less than 4% total body surface area"
392,"01952","Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; between 4% and 9% of total body surface area"
393,"01953","Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; each additional 9% total body surface area or part thereof (List separately in addition to code for primary procedure)"
394,"01958","Anesthesia for external cephalic version procedure"
395,"0195T","Arthrod presac interbody"
396,"01960","Anesthesia for vaginal delivery only"
397,"01961","Anesthesia for cesarean delivery only"
398,"01962","Anesthesia for urgent hysterectomy following delivery"
399,"01963","Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care"
400,"01965","Anesthesia for incomplete or missed abortion procedures"
401,"01966","Anesthesia for induced abortion procedures"
402,"01967","Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor)"
403,"01968","Anesthesia for cesarean delivery following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)"
404,"01969","Anesthesia for cesarean hysterectomy following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)"
405,"0196T","Arthrod presac interbody eac"
406,"0197T","Intrafraction track motion"
407,"0198T","Ocular blood flow measure"
408,"01990","Physiological support for harvesting of organ(s) from brain-dead patient"
409,"01991","Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); other than the prone position"
410,"01992","Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); prone position"
411,"01996","Daily hospital management of epidural or subarachnoid continuous drug administration"
412,"01999","Unlisted anesthesia procedure(s)"
413,"0199T","Physiologic tremor record"
414,"0200T","Perq sacral augmt unilat inj"
415,"0201T","Perq sacral augmt bilat inj"
416,"0202T","Post vert arthrplst 1 lumbar"
417,"01844","Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)"
418,"0184T","Exc rectal tumor endoscopic"
419,"0205T","Inirs each vessel add-on"
420,"0206T","Remote algorithm analys ecg"
421,"0207T","Clear eyelid gland w/heat"
422,"0208T","Audiometry air only"
423,"0209T","Audiometry air & bone"
424,"0210T","Speech audiometry threshold"
425,"0211T","Speech audiom thresh & recog"
426,"0212T","Compre audiometry evaluation"
427,"0213T","Njx paravert w/us cer/thor"
428,"0214T","Njx paravert w/us cer/thor"
429,"0215T","Njx paravert w/us cer/thor"
430,"0216T","Njx paravert w/us lumb/sac"
431,"0217T","Njx paravert w/us lumb/sac"
432,"01850","Anesthesia for procedures on veins of forearm, wrist, and hand; not otherwise specified"
433,"01852","Anesthesia for procedures on veins of forearm, wrist, and hand; phleborrhaphy"
434,"0185T","Comptr probability analysis"
435,"01860","Anesthesia for forearm, wrist, or hand cast application, removal, or repair"
436,"0186T","Suprachoroidal drug delivery"
437,"0188T","Videoconf crit care 74 min"
438,"0189T","Videoconf crit care addl 30"
439,"01905","Anesthesia for myelography, discography, vertebroplasty 

"
440,"0190T","Place intraoc radiation src"
441,"01916","Anesthesia for diagnostic arteriography/venography"
442,"0191T","Insert ant segment drain int"
443,"01920","Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)"
444,"01922","Anesthesia for non-invasive imaging or radiation therapy"
445,"01924","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; not otherwise specified"
446,"01925","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary"
447,"01926","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; intracranial, intracardiac, or aortic"
448,"0192T","Insert ant segment drain ext"
449,"01930","Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); not otherwise specified"
450,"01931","Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [TIPS])"
